dt;xt_44;yt_44;zt_44;xt_avg_44;yt_avg_44;zt_avg_44;xxt_44;xpt_44;xp_44;wd_44;xp_avg_44;wd_avg_44;disSTL_44;disSTL_avg_44;disSTLz_44;disSTLz_avg_44;PCAsigma_44;PCAmu_44;PCAwt_44;vxt_44;vyt_44;vzt_44;vxt_avg_44;vyt_avg_44;vzt_avg_44;vavg_44;vv_44;vv_avg_44;vvt_44;vpvt_avg_44;axt_44;ayt_44;azt_44;aavg_44;axt_avg_44;ayt_avg_44;azt_avg_44;curvature_44;curveRadius_44;turnRate_44;vxp_44;vxp_avg_44;axp_44;axp_avg_44;thetaToR_44;psiToR_44;aa_44;
351.225;-34.690756166448104;-223.8433514725429;9.435647307220151;-34.41911513880942;-223.45810872387665;9.80405644971428;118.07781468496138;361.9958702080043;89.2204734987636;9.694342741608834;88.50267160586911;9.927235710023165;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];240.2808411993922;14.03616746930722;-108.90841218260485;279.8296466658473;91.3748696624019;-21.425334552383315;295.1491875639088;264.18353258454647;306.2766502220203;233.02484426981542;304.18239856948;80.36370975569511;514.8552563351379;7819.408082542794;1959.0826161613077;389.43046371886754;807.7918797341702;1741.786694721451;0.02176565935382033;45.94393322729638;6.620730468691305;196.27165225430772;97.36969795632406;3940.9168648562786;-1065.4158366329261;71.96555248506178;-88.64212467808451;7836.751688177774;
351.229166667;-34.0257676972717;-225.141886857624;9.144211648834684;-33.40009326691288;-223.39812597044113;9.330363193603088;119.04874460686051;363.1212096265792;90.6782779207751;9.33756407711685;89.26434718406617;9.50128471951668;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];249.59123132449207;19.850686915230376;-56.87783291690367;278.58929594729665;95.79545872526668;-20.70450985566126;295.32599353453105;256.7584865246051;306.5765888101693;240.09494809319287;304.6143671743673;3787.9438676198274;2190.0382550950426;15086.102366181474;2055.5022513975023;353.682456768589;1027.041288029478;1745.0456778998903;0.022725821558586906;44.00280964197538;6.922611752586544;200.0868955946285;97.83589090681942;-1674.5052328866152;-983.3380889313386;71.07247407863068;-88.61903769567283;15707.809233178403;
351.233333333;-32.6328827205612;-223.43382054380317;9.215284376407553;-32.384890425078545;-223.32995194365444;8.974462025740381;120.01968838720808;364.19914754189847;90.11339153177234;9.198971601337721;90.09821832266523;9.07564940547047;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];266.84137607389624;31.569187739954344;-0.4339557881496656;277.28820245706237;101.25735862491271;-19.905442900269783;295.86825878187557;268.7026645145096;307.3012674268765;254.02601824799686;305.6668397383233;3891.445929425253;3348.766318162103;9937.79105681009;2131.3934578435264;292.4908855056938;1242.9999778614515;1706.5281155230673;0.023414072105117454;42.709358522110165;7.156905425776483;185.94323221871232;97.09050866936333;-4679.358358945272;-947.4057092303314;69.98671780131602;-88.59264557668183;11185.583505750246;
351.2375;-30.88915847228408;-221.5271114062262;9.191415626782714;-31.309138902232487;-223.22450360534378;8.862510832994667;121.04953584096863;365.2858368997719;89.66554142587992;8.917114658092412;90.9067950546918;8.723853277771129;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];279.71397661833055;47.24165691303764;20.138540722982533;275.86004367706926;107.72511988876772;-19.095515219800234;296.7627063060208;284.3892467833134;308.3946184008831;264.2444590546829;307.25152745115207;2334.6490262625784;4136.394870695709;614.522427346694;2193.8033625123057;210.3844507469594;1448.1033119383246;1634.4749536800664;0.023907950100409792;41.827090812894895;7.345754186576833;163.33355273908757;95.31593664368464;-6070.468187345842;-938.0669857498222;68.71539680847894;-88.56060151541627;4789.361796300072;
351.241666667;-30.349107462565968;-223.54939697860908;8.819285644147158;-30.168229607123617;-223.06145385455147;8.917050576825076;122.13657187260613;366.439627966021;91.60922319469522;8.507709061119265;91.63646762437811;8.467466031378903;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];286.69050707901425;65.72561154381243;10.33302409643251;274.2692355769791;115.13359996816256;-18.28229820284538;298.0161100564651;294.30948718824527;309.8114310729009;nan;nan;1061.3322892224066;4698.279337855245;-4643.655249290651;2254.764743062149;117.83233619563501;1635.6311344147055;1547.5110271775327;0.024325324531144877;41.109420707610795;nan;136.21282735703107;92.74936769305961;-6844.660392114476;-946.2951496417701;67.27345203087711;-88.52482941097256;6690.574641906943;
351.245833333;-28.545992071603216;-223.88112639985724;8.582270356567108;-28.986378083309276;-222.82691829015542;8.988140320772626;123.25157299975565;367.6466216308774;92.99694274158783;8.040534534588808;92.26164265265183;8.29306289291842;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];nan;nan;nan;nan;nan;nan;nan;nan;nan;266.6573573470985;309.3037021925127;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];287.6800271845007;107.36557575553874;-32.66053268934178;272.52849006098563;123.39112060250358;-17.398108954312683;299.6662155359667;308.7942280771209;311.5522014299119;nan;nan;-634.860686490425;5144.816016052114;-2964.7377440872006;2317.545313487392;25.333890255703498;1799.543978588525;1460.1424393522939;0.02467454064406704;40.52760350942738;nan;78.72019927947902;89.62715462596431;-6542.291930755931;-988.8924537803618;65.68444039348013;-88.49423063497615;5971.754333652106;
351.254166667;-26.310425841456052;-221.2179390931127;9.00992070753135;-26.583351592307746;-222.10828913403722;8.885393077184196;125.47371764431279;370.1569047178107;92.34705601142197;8.130092285357652;93.15544711281841;8.047875996347504;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];284.05535154698896;128.6403846250414;-36.18922272446636;270.50509683099676;132.66034591411122;-16.3540558131167;301.7270785513576;313.91949786587503;313.6719635023012;255.74815113572424;311.89080952669997;-1057.7369251630855;5029.468227089447;936.5438101685132;2360.5840048189157;-75.72168553966824;1927.3559095356816;1360.853507223988;0.024743328679688134;40.414934180658676;7.717216812293144;53.48927678091168;85.8366139427245;-5465.731264628757;-1155.096606798568;63.917173080121;-88.47736149614926;5224.1240757203195;
351.258333333;-25.300477389778024;-220.25272332269782;9.086120609708843;-25.391624419837736;-221.61644316942971;8.736311871527304;126.55351267239868;371.454730327199;92.27993782744937;8.058173609292446;93.42932599716544;7.868063190438083;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];279.2592752610973;148.96427752933786;-27.642856913420008;268.3201965892307;142.45308029593787;-15.242122129611532;304.17253372140345;317.71091630211055;316.03115314298327;249.00624947497272;314.86648645347753;-1197.1329977132427;4688.376352752713;2831.289062080106;2379.9616859313373;-189.3370389111309;2024.0632744272928;1237.5528163727658;0.0245219091320844;40.77985912979356;7.72112736955086;34.02926877376884;81.23354028171758;-3772.252974869642;-1305.861942651139;62.07406238183066;-88.47607463641317;5606.264174324928;
351.2625;-24.485838849431083;-221.6361976306315;8.30691472003808;-24.217850608096626;-221.03760664544788;8.600587132044694;127.60495223710855;372.7704878609157;93.90085445873133;7.199512034814492;93.60920624500814;7.592626372864378;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];274.47296568566856;167.39665411270366;-15.382003182629003;265.88714963129416;152.61206704611078;-14.19260516539837;306.90039001037735;321.85968172842763;318.5390602515753;242.9279266650347;318.033059378735;-1053.0489041408957;4121.540393041908;2719.4980116475786;2372.409140164516;-316.9312745275223;2088.1737818113693;1080.4674694400119;0.024020794767580286;41.6305958930906;7.639406848642268;22.910665356514592;76.24513541566346;-1461.8570614785922;-1331.6139890900233;60.180514989399924;-88.47953493777405;5048.928266607036;
